date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-03-10, 14:36:20	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2020-03-10, 14:36:22	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2020-03-10, 14:36:24	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2020-03-10, 14:36:26	0 Hz	0 W	3,6E0 mbar	3,5E0 mbar
2020-03-10, 14:36:28	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2020-03-10, 14:36:30	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2020-03-10, 14:36:32	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2020-03-10, 14:36:34	0 Hz	0 W	3,7E0 mbar	3,6E0 mbar
2020-03-10, 14:36:36	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2020-03-10, 14:36:38	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2020-03-10, 14:36:40	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2020-03-10, 14:36:42	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2020-03-10, 14:36:44	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2020-03-10, 14:36:46	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2020-03-10, 14:36:48	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2020-03-10, 14:36:50	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2020-03-10, 14:36:52	0 Hz	0 W	3,9E0 mbar	3,8E0 mbar
2020-03-10, 14:36:54	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2020-03-10, 14:36:56	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2020-03-10, 14:36:58	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2020-03-10, 14:37:00	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2020-03-10, 14:37:02	0 Hz	0 W	4,2E0 mbar	3,9E0 mbar
2020-03-10, 14:37:04	0 Hz	0 W	4,2E0 mbar	3,9E0 mbar
2020-03-10, 14:37:06	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2020-03-10, 14:37:08	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2020-03-10, 14:37:10	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2020-03-10, 14:37:12	0 Hz	0 W	4,4E0 mbar	4E0 mbar
2020-03-10, 14:37:14	0 Hz	0 W	4,4E0 mbar	4E0 mbar
2020-03-10, 14:37:16	0 Hz	0 W	4,5E0 mbar	4,1E0 mbar
2020-03-10, 14:37:18	0 Hz	0 W	4,5E0 mbar	4,1E0 mbar
2020-03-10, 14:37:20	0 Hz	0 W	4,6E0 mbar	4,2E0 mbar
2020-03-10, 14:37:22	0 Hz	0 W	4,6E0 mbar	4,2E0 mbar
2020-03-10, 14:37:24	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2020-03-10, 14:37:26	0 Hz	0 W	4,7E0 mbar	4,3E0 mbar
2020-03-10, 14:37:28	0 Hz	0 W	6,1E0 mbar	7,2E0 mbar
2020-03-10, 14:37:30	0 Hz	0 W	1,4E1 mbar	1,5E1 mbar
2020-03-10, 14:37:32	0 Hz	0 W	2,5E1 mbar	1,9E1 mbar
2020-03-10, 14:37:34	0 Hz	0 W	3,4E1 mbar	2,8E1 mbar
2020-03-10, 14:37:36	0 Hz	0 W	3,9E1 mbar	3,4E1 mbar
2020-03-10, 14:37:38	0 Hz	0 W	5,2E1 mbar	3,8E1 mbar
2020-03-10, 14:37:40	0 Hz	0 W	6,1E1 mbar	4,2E1 mbar
2020-03-10, 14:37:42	0 Hz	0 W	6,7E1 mbar	4,7E1 mbar
2020-03-10, 14:37:44	0 Hz	0 W	7,6E1 mbar	5,3E1 mbar
2020-03-10, 14:37:46	0 Hz	0 W	8,6E1 mbar	5,7E1 mbar
2020-03-10, 14:37:48	0 Hz	0 W	9,3E1 mbar	6,2E1 mbar
2020-03-10, 14:37:50	0 Hz	0 W	1E2 mbar	6,6E1 mbar
2020-03-10, 14:37:52	0 Hz	0 W	1,2E2 mbar	6,8E1 mbar
2020-03-10, 14:37:54	0 Hz	0 W	1,4E2 mbar	7,3E1 mbar
2020-03-10, 14:37:56	0 Hz	0 W	1,6E2 mbar	8E1 mbar
2020-03-10, 14:37:58	0 Hz	0 W	2,9E2 mbar	1,1E2 mbar
2020-03-10, 14:38:00	0 Hz	0 W	5,7E2 mbar	1,5E2 mbar
2020-03-10, 14:38:02	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2020-03-10, 14:38:04	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:38:06	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:38:08	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:38:10	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:38:12	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:38:14	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:38:16	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:38:18	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:38:20	0 Hz	0 W	1E3 mbar	2,1E2 mbar
