date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-03-10, 14:39:50	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:39:52	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:39:54	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:39:56	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:39:58	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2020-03-10, 14:40:00	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:02	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:04	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2020-03-10, 14:40:06	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:08	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:10	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2020-03-10, 14:40:12	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:14	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:16	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:18	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:20	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2020-03-10, 14:40:22	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2020-03-10, 14:40:24	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:26	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:28	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:30	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:32	0 Hz	0 W	1E3 mbar	2,2E2 mbar
2020-03-10, 14:40:34	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2020-03-10, 14:40:36	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:40:38	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:40:40	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:40:42	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:40:44	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:40:46	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:40:48	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:40:50	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:40:52	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:40:54	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:40:56	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:40:58	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:41:00	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:02	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:04	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:41:06	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:41:08	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:10	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:12	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2020-03-10, 14:41:14	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2020-03-10, 14:41:16	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:18	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:20	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:41:22	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:24	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:26	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:28	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:30	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 14:41:32	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2020-03-10, 14:41:34	0 Hz	0 W	1E3 mbar	2E2 mbar
