date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-03-10, 15:00:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-03-10, 15:00:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-03-10, 15:00:10	0 Hz	0 W	1E3 mbar	7E2 mbar
2020-03-10, 15:00:12	0 Hz	0 W	1E3 mbar	6,1E2 mbar
2020-03-10, 15:00:14	0 Hz	0 W	1E3 mbar	4,3E2 mbar
2020-03-10, 15:00:16	0 Hz	0 W	1E3 mbar	3,5E2 mbar
2020-03-10, 15:00:18	0 Hz	0 W	1E3 mbar	2,8E2 mbar
2020-03-10, 15:00:20	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-03-10, 15:00:22	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2020-03-10, 15:00:24	0 Hz	0 W	4,5E2 mbar	1,4E2 mbar
2020-03-10, 15:00:26	0 Hz	0 W	3,2E2 mbar	1E2 mbar
2020-03-10, 15:00:28	0 Hz	0 W	1,9E2 mbar	9,2E1 mbar
2020-03-10, 15:00:30	0 Hz	0 W	1,5E2 mbar	7,6E1 mbar
2020-03-10, 15:00:32	0 Hz	0 W	1E2 mbar	6,5E1 mbar
2020-03-10, 15:00:34	0 Hz	0 W	8,3E1 mbar	5,7E1 mbar
2020-03-10, 15:00:36	0 Hz	0 W	6,8E1 mbar	5,1E1 mbar
2020-03-10, 15:00:38	0 Hz	0 W	5,9E1 mbar	4,1E1 mbar
2020-03-10, 15:00:40	0 Hz	0 W	4,9E1 mbar	3,7E1 mbar
2020-03-10, 15:00:42	0 Hz	0 W	3,9E1 mbar	3,4E1 mbar
2020-03-10, 15:00:44	0 Hz	0 W	3,7E1 mbar	3E1 mbar
2020-03-10, 15:00:46	0 Hz	0 W	3,4E1 mbar	2,6E1 mbar
2020-03-10, 15:00:48	0 Hz	0 W	3E1 mbar	2,2E1 mbar
2020-03-10, 15:00:50	0 Hz	0 W	2,6E1 mbar	1,9E1 mbar
2020-03-10, 15:00:52	0 Hz	0 W	2,1E1 mbar	1,8E1 mbar
2020-03-10, 15:00:54	0 Hz	0 W	1,9E1 mbar	1,6E1 mbar
2020-03-10, 15:00:56	0 Hz	0 W	1,7E1 mbar	1,5E1 mbar
2020-03-10, 15:00:58	0 Hz	0 W	1,5E1 mbar	1,3E1 mbar
2020-03-10, 15:01:00	0 Hz	0 W	1,4E1 mbar	1,2E1 mbar
2020-03-10, 15:01:02	0 Hz	0 W	1,2E1 mbar	1E1 mbar
2020-03-10, 15:01:04	0 Hz	0 W	1,1E1 mbar	9,7E0 mbar
2020-03-10, 15:01:06	0 Hz	0 W	1E1 mbar	9,1E0 mbar
