date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-03-10, 15:13:58	1500 Hz	19 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:14:00	1500 Hz	20 W	5,7E-4 mbar	4,5E-4 mbar
2020-03-10, 15:14:02	1500 Hz	20 W	5,8E-4 mbar	4,5E-4 mbar
2020-03-10, 15:14:04	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:06	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:08	1500 Hz	21 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:10	1500 Hz	21 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:12	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:14	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:16	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:18	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:20	1500 Hz	21 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:22	1500 Hz	21 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:24	1500 Hz	21 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:26	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:28	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:30	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:32	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:34	1500 Hz	21 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:36	1500 Hz	21 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:38	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:40	1500 Hz	20 W	5,8E-4 mbar	5E-4 mbar
2020-03-10, 15:14:42	1500 Hz	20 W	6E-4 mbar	5E-4 mbar
2020-03-10, 15:14:44	1500 Hz	21 W	7E-4 mbar	5E-4 mbar
2020-03-10, 15:14:46	1500 Hz	21 W	7,5E-4 mbar	5E-4 mbar
2020-03-10, 15:14:48	1500 Hz	22 W	7,5E-4 mbar	5E-4 mbar
2020-03-10, 15:14:50	1500 Hz	21 W	7,5E-4 mbar	5,5E-4 mbar
2020-03-10, 15:14:52	1500 Hz	22 W	7,5E-4 mbar	5,5E-4 mbar
2020-03-10, 15:14:54	1500 Hz	21 W	7,5E-4 mbar	5,5E-4 mbar
2020-03-10, 15:14:56	1500 Hz	21 W	7,5E-4 mbar	5,5E-4 mbar
2020-03-10, 15:14:58	1500 Hz	21 W	8,3E-4 mbar	6E-4 mbar
2020-03-10, 15:15:00	1500 Hz	21 W	8,9E-4 mbar	6E-4 mbar
2020-03-10, 15:15:02	1500 Hz	21 W	9,1E-4 mbar	6E-4 mbar
2020-03-10, 15:15:04	1500 Hz	22 W	9,7E-4 mbar	6,5E-4 mbar
2020-03-10, 15:15:06	1500 Hz	22 W	9,7E-4 mbar	6,5E-4 mbar
2020-03-10, 15:15:08	1500 Hz	22 W	1E-3 mbar	7E-4 mbar
2020-03-10, 15:15:10	1500 Hz	23 W	1E-3 mbar	7E-4 mbar
2020-03-10, 15:15:12	1500 Hz	22 W	1E-3 mbar	7E-4 mbar
2020-03-10, 15:15:14	1500 Hz	22 W	1E-3 mbar	8E-4 mbar
2020-03-10, 15:15:16	1500 Hz	22 W	1E-3 mbar	8E-4 mbar
2020-03-10, 15:15:18	1500 Hz	22 W	1E-3 mbar	8E-4 mbar
2020-03-10, 15:15:20	1500 Hz	22 W	1E-3 mbar	8E-4 mbar
2020-03-10, 15:15:22	1500 Hz	23 W	1E-3 mbar	8E-4 mbar
2020-03-10, 15:15:24	1500 Hz	23 W	1E-3 mbar	8E-4 mbar
2020-03-10, 15:15:26	1500 Hz	24 W	1E-3 mbar	9,5E-4 mbar
2020-03-10, 15:15:28	1500 Hz	24 W	1E-3 mbar	1E-3 mbar
2020-03-10, 15:15:30	1500 Hz	24 W	1E-3 mbar	9,5E-4 mbar
2020-03-10, 15:15:32	1500 Hz	24 W	1E-3 mbar	1E-3 mbar
2020-03-10, 15:15:34	1500 Hz	23 W	1E-3 mbar	9,5E-4 mbar
2020-03-10, 15:15:36	1500 Hz	23 W	1E-3 mbar	9,5E-4 mbar
2020-03-10, 15:15:38	1500 Hz	24 W	1,1E-3 mbar	1,1E-3 mbar
2020-03-10, 15:15:40	1500 Hz	25 W	1,1E-3 mbar	1,1E-3 mbar
2020-03-10, 15:15:42	1500 Hz	24 W	1,1E-3 mbar	1,1E-3 mbar
2020-03-10, 15:15:44	1500 Hz	24 W	1,1E-3 mbar	1,1E-3 mbar
2020-03-10, 15:15:46	1500 Hz	25 W	1,1E-3 mbar	1,1E-3 mbar
2020-03-10, 15:15:48	1500 Hz	26 W	1,4E-3 mbar	1,4E-3 mbar
2020-03-10, 15:15:50	1500 Hz	26 W	1,4E-3 mbar	1,4E-3 mbar
2020-03-10, 15:15:52	1500 Hz	26 W	1,5E-3 mbar	1,4E-3 mbar
2020-03-10, 15:15:54	1500 Hz	26 W	1,4E-3 mbar	1,4E-3 mbar
2020-03-10, 15:15:56	1500 Hz	27 W	1,5E-3 mbar	1,4E-3 mbar
2020-03-10, 15:15:58	1500 Hz	27 W	1,5E-3 mbar	1,4E-3 mbar
2020-03-10, 15:16:00	1500 Hz	27 W	1,5E-3 mbar	1,6E-3 mbar
2020-03-10, 15:16:02	1500 Hz	28 W	1,6E-3 mbar	1,6E-3 mbar
2020-03-10, 15:16:04	1500 Hz	27 W	1,7E-3 mbar	1,7E-3 mbar
2020-03-10, 15:16:06	1500 Hz	28 W	1,9E-3 mbar	1,8E-3 mbar
2020-03-10, 15:16:08	1500 Hz	29 W	2E-3 mbar	1,9E-3 mbar
2020-03-10, 15:16:10	1500 Hz	29 W	2E-3 mbar	1,9E-3 mbar
2020-03-10, 15:16:12	1500 Hz	29 W	2E-3 mbar	1,9E-3 mbar
2020-03-10, 15:16:14	1500 Hz	28 W	2E-3 mbar	1,9E-3 mbar
2020-03-10, 15:16:16	1500 Hz	28 W	2E-3 mbar	1,9E-3 mbar
2020-03-10, 15:16:18	1500 Hz	28 W	2E-3 mbar	2E-3 mbar
2020-03-10, 15:16:20	1500 Hz	29 W	2,3E-3 mbar	2,2E-3 mbar
2020-03-10, 15:16:22	1500 Hz	29 W	2,3E-3 mbar	2,2E-3 mbar
2020-03-10, 15:16:24	1500 Hz	29 W	2,3E-3 mbar	2,2E-3 mbar
2020-03-10, 15:16:26	1500 Hz	29 W	2,3E-3 mbar	2,2E-3 mbar
2020-03-10, 15:16:28	1500 Hz	30 W	2,3E-3 mbar	2,2E-3 mbar
2020-03-10, 15:16:30	1500 Hz	31 W	2,3E-3 mbar	2,2E-3 mbar
2020-03-10, 15:16:32	1500 Hz	30 W	2,3E-3 mbar	2,2E-3 mbar
2020-03-10, 15:16:34	1500 Hz	29 W	2,4E-3 mbar	2,2E-3 mbar
2020-03-10, 15:16:36	1500 Hz	30 W	2,3E-3 mbar	2,2E-3 mbar
